Names,PartyNm,Electorate,Provinces
Erman Khaeron,Partai Demokrat,Jawa Barat VIII,Jawa Barat
Linda Megawati,Partai Demokrat,Jawa Barat IX,Jawa Barat
Amin Santono,Partai Demokrat,Jawa Barat X,Jawa Barat
Siti Mufattahah,Partai Demokrat,Jawa Barat XI,Jawa Barat
Agus Hermanto ,Partai Demokrat,Jawa Tengah I,Jawa Tengah
Djoko Udjianto,Partai Demokrat,Jawa Tengah III,Jawa Tengah
Rinto Subekti,Partai Demokrat,Jawa Tengah IV,Jawa Tengah
Khatibul Umam Wiranu,Partai Demokrat,Jawa Tengah VIII,Jawa Tengah
Ambar Tjahyono,Partai Demokrat,DI Yogyakarta,DI Yogyakarta
Fandi Utomo,Partai Demokrat,Jawa Timur I,Jawa Timur
Evi Zainal Abidin,Partai Demokrat,Jawa Timur II,Jawa Timur
Azam Asman Natawijana,Partai Demokrat,Jawa Timur III,Jawa Timur
Ayub Khan,Partai Demokrat,Jawa Timur IV,Jawa Timur
Nurhayati Ali Assegaf,Partai Demokrat,Jawa Timur V,Jawa Timur
Venna Melinda,Partai Demokrat,Jawa Timur VI,Jawa Timur
Edhie Baskoro Yudhoyono,Partai Demokrat,Jawa Timur VII,Jawa Timur
Sartono,Partai Demokrat,Jawa Timur VII,Jawa Timur
Guntur Sasono,Partai Demokrat,Jawa Timur VIII,Jawa Timur
Didik Mukrianto,Partai Demokrat,Jawa Timur IX,Jawa Timur
Mat Nasir,Partai Demokrat,Jawa Timur XI,Jawa Timur
Vivi Sumantri Jayabaya,Partai Demokrat,Banten I,Banten
Wahidin Halim,Partai Demokrat,Banten III,Banten
Jero Wacik,Partai Demokrat,Bali,Bali
